⺀⺀	丶 丶
𰷀	貝 耳
𰷁	貝 ⺌ 彐
𰷂	貝 夕 夕
𰷃	山 巳 貝
𰷄	人 王 貝
𰷅	貝 厂 㠯
𰷆	王 攵 貝
𰷇	貝 {丘无横} 一 山
𰷈	貝 勹 米
𰷉	貝 面
𰷊	貝 十 戈 木
𰷋	貝 龷 八 一 廾
𰷌	十 廾 虫 貝
𰷍	{臧字框} 口 貝
𰷎	士 {眉框} 殳 貝
𰷏	貝 至 ⺊ 一 又
𰷐	⺈ 田 日 貝
𰷑	貝 土 人 人 {畏下无横}
𰷒	虫 貝 {丘无横} {其字底}
𰷓	虫 貝 亻 木 一
𰷔	人 {乔字底} 士 罒 貝
𰷕	穴 工 八 刀 貝
𰷖	貝 䒑 {尹三} 〢 灬
𰷗	貝 屮 凵 示 又
𰷘	貝 土 {亦字底} 土 {亦字底}
𰷙	日 耂 日 ⺈ 貝
𰷚	貝 宀 {眉框} 貝
𰷛	貝 广 䒑 {尹三} 〢 灬
𰷜	貝 ⺈ 厂 ⺿ 口 言
𰷝	音 十 夂 彡 貝
𰷞	弋 贝
𰷟	贝 ㄋ 𰀪
𰷠	贝 也
𰷡	贝 二 儿
𰷢	贝 氏 丶
𰷣	夫 夫 贝
𰷤	贝 亠 人 人 十
𰷥	宀 示 贝
𰷦	云 弗 贝
𰷧	聿 灬 贝
𰷨	贝 鬼
𰷩	贝 丷 夫 贝
𰷪	贝 {益字头} 皿
𰷫	贝 犬 犬 犬
𰷬	贝 广 䒑 {尹三} {变字头无亠}
𰷭	贝 {臧字框} 臣
𰷮	虎 虎 贝
𰷯	冂 一 口 土 {亦字底}
𰷰	土 {亦字底} 火 火 冖 {双口：吕吅}
𰷱	走 与
𰷲	走 片
𰷳	丿 大 龰 且
𰷴	走 {乐二} 小
𰷵	走 {晓右上} 一 儿
𰷶	走 丿 大 {乔字底}
𰷷	走 豕
𰷸	走 十 乛 丶 丶 大
𰷹	走 木 木
𰷺	走 ⺊ 貝
𰷻	丿 大 龰 匕 目 ㇗ 八
𰷼	走 𠂇 口 冂 口
𰷽	走 夕 ⺋ 田
𰷾	走 虍 勹 𰀪 丶
𰷿	丿 大 龰 丿 大 口 冂 口
𰸀	走 ⻗ 亽 龴
𰸁	⻊ 刀
𰸂	⻊ 大
𰸃	⻊ ⺈ ㇏
𰸄	⻊ ㄋ 𰀪
𰸅	⻊ 攴
𰸆	⻊ 六
𰸇	⻊ 又 又
𰸈	扌 丸 足
𰸉	⻊ 大 一 𬺰
𰸊	⻊ 山 夕
𰸋	⻊ ⺁ 一 口
𰸌	⻊ 月 刂
𰸍	人 止 足
𰸎	⻊ {立无横} 厂
𰸏	冫 欠 足
𰸐	⻊ 一 {丽右角} {丽右角}
𰸑	⻊ 古 儿
𰸒	⻊ ⺈ 丨 日
𰸓	⻊ 厶 小 又
𰸔	⻊ 车 辶
𰸕	⻊ 止 ⺝
𰸖	⻊ 日 {卬左} 卩
𰸗	⻊ 冂 米
𰸘	⻊ 忄 又 土
𰸙	⻊ 厶 大 彡
𰸚	⻊ 卅 冖 巾
𰸛	卅 冖 巾 足
𰸜	⻊ 甘 木
𰸝	⻊ 龷 八 二 ㄅ
𰸞	⻊ 虫 贝
𰸟	⻊ 水 田
𰸠	⻊ 貝 刂
𰸡	⻊ 亼 口 廾
𰸢	⻊ 一 大 氺
𰸣	⻊ ⺈ {尹三} 心
𰸤	⻊ {免无儿} 儿 ゛
𰸥	⻊ {亮头} 丁
𰸦	⻊ 力 口 贝
𰸧	⻊ 乛 水 三 一
𰸨	⻊ 龷 米
𰸩	⻊ 儿 冫 {飞无折} 辶
𰸪	⻊ 彳 日 一 寸
𰸫	⻊ 壴 彡
𰸬	⻊ 扌 日 疋
𰸭	⻊ 貝 ⺊ 口
𰸮	⻊ 日 一 里
𰸯	⻊ 黽
𰸰	⻊ 止 頁
𰸱	⻊ {祭字头} 豆
𰸲	⻊ ⺮ {即左} 卩
𰸳	⻊ 艹 隹 又
𰸴	⻊ 匕 矢 龴 疋
𰸵	⻊ 亽 龴 頁
𰸶	⻊ 亻 僉
𰸷	{㪿三} 丿 㠯 辛 足
𰸸	⻊ 丿 㠯 大 {尹三} 冖 巾
𰸹	⻊ 艹 丿 㠯 辛 子
𰸺	身 ⺁ 又
𰸻	身 勹 弓
𰸼	身 丿 夫
𰸽	身 心 丿
𰸾	身 日 一 寸
𰸿	身 罒 夕
𰹀	身 ツ 田 十
𰹁	身 不 一 止
𰹂	身 艹 句
𰹃	身 艹 𠂇 口
𰹄	身 山 而
𰹅	身 {拜左} 一 丰
𰹆	身 爫 冖 𠂇 又
𰹇	身 艹 禾 女
𰹈	車 乙
𰹉	車 𠃌
𰹊	車 丿 七
𰹋	車 勹 丶
𰹌	六 車
𰹍	車 木 一
𰹎	車 丿 冂 人
𰹏	車 夕 卩
𰹐	車 力 口
𰹑	車 亠 日
𰹒	車 尸 水
𰹓	車 戈 口 一
𰹔	車 日 木
𰹕	車 口 又 口
𰹖	車 禾 {尹三}
𰹗	車 爫 一 寸
𰹘	車 爫 冖 又
𰹙	車 勹 二 止
𰹚	車 又 又 欠
𰹛	車 禾 龷
𰹜	車 㐅 凵 小 又
𰹝	車 {立无横} 可
𰹞	厶 厶 厶 大 車
𰹟	車 口 丨 一 田
𰹠	車 隹 乃
𰹡	車 彑 氺 刂
𰹢	車 予 丿 示
𰹣	車 ⺈ 丨 日 心
𰹤	車 {𡋲字头} 田
𰹥	車 日 罒 一 {別字旁底}
𰹦	車 卯 貝
𰹧	車 肀 片 爿 一
𰹨	車 山 而 辶
𰹩	車 宀 一 {步下} 貝
𰹪	車 广 䒑 {尹三} 〢 灬
𰹫	糸 車 糸 山
𰹬	車 艹 {臧字框} 臣
𰹭	車 ⺮ 土 厶 月 攵
𰹮	車 艹 門 隹 灬
𰹯	车 乙
𰹰	车 入
𰹱	车 㔾
𰹲	车 口
𰹳	车 川
𰹴	车 几 丶
𰹵	车 丶 乂
𰹶	车 王
𰹷	车 二 儿
𰹸	车 一 {屯无横}
𰹹	车 七 刀
𰹺	车 ⺁ 又
𰹻	车 巴
𰹼	车 一 戈
𰹽	车 干 丷
𰹾	〢 {临右上} 车
𰹿	车 亻 寸
𰺀	车 氏 丶
𰺁	车 句
𰺂	车 勹 巳
𰺃	车 又 寸
𰺄	车 龷 八
𰺅	龷 八 车
𰺆	车 勹 日
𰺇	车 宀 二 儿
𰺈	车 {尹三} 丿 口
𰺉	车 龶 ⺝
𰺊	车 土 八 夂
𰺋	车 耳 又
𰺌	车 十 乛 丶 丶 大
𰺍	车 田 木
𰺎	车 非
𰺏	车 月 月
𰺐	车 ⺈ 臼
𰺑	车 宀 夕 ⺋
𰺒	车 山 而
𰺓	车 𠂉 日 夂
𰺔	车 㐅 凵 八 夂
𰺕	车 广 廿 又
𰺖	车 {寿四} ㇏ 禾
𰺗	车 〢 {临右上} 皿
𰺘	士 {眉框} 殳 车
𰺙	车 土 丷 囗 口
𰺚	车 而 而
𰺛	车 大 丷 日 小
𰺜	车 丿 米 田
𰺝	车 立 里
𰺞	车 尸 子 子 子
𰺟	車 凵 殳 车
𰺠	车 十 冂 {南心} 犬
𰺡	车 艹 土 厶 皿
𰺢	车 石 石 石
𰺣	车 艹 门 隹
𰺤	车 自 穴 方
𰺥	辛 丸
𰺦	辛 卩 又
𰺧	𠂒 儿 辛
𰺨	辛 一 田 凵
𰺩	辛 戊 一 口
𰺪	{辡左} 辛 冂 人
𰺫	辛 䒑 {尹三} 〢 灬
𰺬	一 {䕥下} 辛
𰺭	辰 人 云
𰺮	彡 龰 卜
𰺯	卄 辶
𰺰	一 儿 辶
𰺱	巾 辶
𰺲	ㄋ 𰀪 辶
𰺳	弓 辶
𰺴	匚 儿 辶
𰺵	彡 龰 止
𰺶	瓜 辶
𰺷	{晓右上} 一 儿 辶
𰺸	扌 丿 七 辶
𰺹	囗 𬺰 丿 辶
𰺺	⺁ {旅右下} 辶
𰺻	士 心 辶
𰺼	彡 龰 豕
𰺽	丶 艮 辶
𰺾	大 日 乚 辶
𰺿	一 由 厶 辶
𰻀	土 土 卜 辶
𰻁	𠕁 {其字底} 辶
𰻂	日 火 辶
𰻃	爫 冖 又 辶
𰻄	{拜左} 月 辶
𰻅	立 口 辶
𰻆	卅 冖 巾 辶
𰻇	𠂉 日 夂 辶
𰻈	彡 龰 千 里
𰻉	亼 口 心 辶
𰻊	高 辶
𰻋	米 斤 辶
𰻌	聿 氺 辶
𰻍	艹 聿 辶
𰻎	木 人 人 土 辶
𰻏	山 侖 辶
𰻐	田 艹 {举字底} 辶
𰻑	亻 口 {双口：吕吅} 辶
𰻒	大 口 {双口：吕吅} 辶
𰻓	立 夂 丰 辶
𰻔	方 𠂉 羊 辶
𰻕	肀 片 爿 一 辶
𰻖	王 廾 米 辶
𰻗	艹 土 羊 辶
𰻘	丿 冂 丿 米 大 辶
𰻙	斤 辶 廿 ㇗ 木
𰻚	{尹三} 丿 口 羊 辶
𰻛	豕 耂 日 辶
𰻜	{高头} 口 {高头} 小 辶
𰻝	穴 言 幺 幺 马 长 长 月 刂 心 辶
𰻞	穴 言 幺 幺 馬 長 長 月 刂 心 辶
𰻟	{卯左} 阝
𰻠	巳 阝
𰻡	无 阝
𰻢	一 ⺊ ㄅ 阝
𰻣	一 {屯无横} 口 巴
𰻤	止 阝
𰻥	亻 {华右角} 阝
𰻦	丶 力 丶 阝
𰻧	古 口 巴
𰻨	{东二} 小 阝
𰻩	山 山 口 巴
𰻪	耂 巾 阝
𰻫	勹 田 阝
𰻬	宀 二 儿 阝
𰻭	禾 子 阝
𰻮	鸟 木 阝
𰻯	{高头} 小 阝
𰻰	尸 土 厶 阝
𰻱	弓 石 口 巴
𰻲	匚 山 王 阝
𰻳	弗 贝 阝
𰻴	王 囗 口 阝
𰻵	罒 日 乚 阝
𰻶	山 ⺊ 册 阝
𰻷	戶 一 𠃌 殳 口 巴
𰻸	𠃌 {夫三} 阝 艮
𰻹	⺈ 田 日 阝
𰻺	宀 心 丿 山 阝
𰻻	宀 火 火 阝
𰻼	木 木 日 阝
𰻽	广 田 用 阝
𰻾	罒 ㇗ 非 阝
𰻿	禾 人 氺 {黎右角} 口 巴
𰼀	𠂒 儿 𠂒 儿 曰 阝
𰼁	{高头} 子 耂 日 口 巴
𰼂	⻗ {双口：吕吅} 口 工 口 {双口：吕吅} 阝
𰼃	酉 ⺊ 一
𰼄	酉 丿 廾
𰼅	酉 又 {举字底}
𰼆	女 又 酉
𰼇	酉 穴 又
𰼈	酉 𠃌 {夫三} 阝
𰼉	酉 厶 小 又
𰼊	酉 戈 口 一
𰼋	酉 艹 冖 力
𰼌	酉 非
𰼍	丷 酉 戈 幺
𰼎	酉 厶 八 ⺌ 又
𰼏	酉 〢 {临右上} 皿
𰼐	酉 𠂇 ⺝ 皿
𰼑	酉 艹 两
𰼒	酉 非 一 𬺰
𰼓	酉 夫 夫 曰
𰼔	酉 糹 士 口
𰼕	酉 覀 {即左} 寸
𰼖	酉 宀 丿 米 田
𰼗	丿 米 井
𰼘	里 ヿ
𰼙	里 勹 冫
𰼚	扌 攵 厂 里
𰼛	未 丷 力 里
𰼜	千 里 {尹三} 冖 又
𰼝	里 音
𰼞	千 里 金
𰼟	金 口
𰼠	釒 飞
𰼡	八 刀 金
𰼢	釒 八 乂
𰼣	釒 宀 一
𰼤	釒 一 木
𰼥	釒 ⺊ 尸
𰼦	釒 {发二} 又 丶
𰼧	釒 一 日 一
𰼨	釒 小 大
𰼩	夕 弋 金
𰼪	厶 牛 金
𰼫	厶 厶 厶 金
𰼬	釒 乛 水 一
𰼭	釒 寸 辶
𰼮	釒 囗 木
𰼯	釒 𠂉 一 止
𰼰	釒 ⺈ 用
𰼱	釒 白 十
𰼲	釒 勹 田
𰼳	釒 亼 ⺍ 一
𰼴	釒 𠃌 {夫三} 阝
𰼵	歹 戈 金
𰼶	木 冂 刂 金
𰼷	扌 立 金
𰼸	釒 日 文
𰼹	釒 囗 夂 ゛
𰼺	釒 田 廾
𰼻	{车旁} ス 工 金
𰼼	金 一 {屯无横} 一 木
𰼽	木 目 金
𰼾	釒 由 ⺝
𰼿	釒 ⺁ 一 口 土
𰽀	釒 亽 ヿ 口 刂
𰽁	釒 古 攵
𰽂	釒 夂 㐄 辶
𰽃	釒 冫 {飞无折} 人 ⺝
𰽄	釒 小 丿 曰 小
𰽅	釒 亠 㐅 凵 禸
𰽆	釒 十 目 ㇗ 心
𰽇	釒 扌 日 疋
𰽈	工 頁 金
𰽉	金 龷 日 六
𰽊	釒 歹 刂 衣
𰽋	釒 宀 日 疋
𰽌	釒 {高头} 小 尤
𰽍	釒 田 ⽱ 辶
𰽎	釒 馬 又 又
𰽏	釒 艹 氵 甫
𰽐	釒 {党无儿} 匕 日
𰽑	辛 金 辛
𰽒	釒 ⺈ 冂 八 目 夂
𰽓	釒 {臼裂} 冂 一 口 冖 見
𰽔	金 音 儿 金 音 儿 金 音 儿 金 音 儿
𰽕	钅 几
𰽖	钅 力
𰽗	钅 一 𬺰
𰽘	钅 大
𰽙	钅 ⺊ 一
𰽚	钅 广
𰽛	钅 小
𰽜	钅 匚 㐅
𰽝	钅 厂 力
𰽞	钅 厂 ⺋
𰽟	钅 井
𰽠	钅 止
𰽡	钅 日
𰽢	钅 见
𰽣	钅 弓 丨
𰽤	钅 {候右角} 人
𰽥	钅 一 冂 人
𰽦	钅 龙
𰽧	钅 不 一
𰽨	钅 口 八
𰽩	钅 ⺊ 一 卜
𰽪	钅 人 工
𰽫	钅 生
𰽬	钅 禾
𰽭	钅 句
𰽮	钅 亻 寸
𰽯	钅 丶 王
𰽰	钅 丷 {举字底}
𰽱	钅 弗
𰽲	钅 士 口
𰽳	钅 页
𰽴	钅 大 二 ㄅ
𰽵	钅 光
𰽶	钅 虫
𰽷	钅 山 夕
𰽸	钅 ⺁ {旅右下}
𰽹	钅 夕 夕
𰽺	钅 ⺈ 厂 ⺋
𰽻	钅 亻 丿 士
𰽼	钅 䒑 廾
𰽽	钅 羊
𰽾	钅 寸 辶
𰽿	钅 耳 乚
𰾀	钅 十 冖 子
𰾁	钅 工 水
𰾂	钅 十 冂 大
𰾃	钅 足
𰾄	钅 𠂉 母
𰾅	钅 亽 ヿ 口
𰾆	钅 谷
𰾇	钅 一 大 口
𰾈	钅 氵 小 丿
𰾉	钅 冖 八 干
𰾊	钅 丿 囗 夂
𰾋	钅 广 车
𰾌	钅 {车旁} 斤
𰾍	钅 龶 𧘇
𰾎	钅 白 丿 十
𰾏	钅 勹 缶
𰾐	钅 非
𰾑	钅 金
𰾒	钅 宀 㠯
𰾓	钅 水 日
𰾔	钅 戊 𠃌 土
𰾕	钅 廿 ㇗ 木
𰾖	钅 𠂇 工 月
𰾗	钅 戊 一 口
𰾘	钅 {其字头} {其字底} ㇗
𰾙	钅 田 ⽱
𰾚	钅 田 一 {畏下无横}
𰾛	钅 田 人 {乔字底}
𰾜	钅 山 而
𰾝	钅 日 生
𰾞	钅 㐅 凵 八 夂
𰾟	钅 𠂉 日 夂
𰾠	钅 {免无儿} 儿 ゛
𰾡	钅 勹 言
𰾢	钅 方 𠂉 也
𰾣	钅 尸 至
𰾤	钅 尸 二 コ 又
𰾥	钅 癶 一 大
𰾦	钅 彑 {豕无横}
𰾧	钅 敖
𰾨	钅 井 王 冂
𰾩	钅 土 厶 皿
𰾪	钅 一 业 心
𰾫	钅 〢 {临右上} 皿
𰾬	钅 ⺜ 羽
𰾭	钅 爫 冖 𠂇 又
𰾮	钅 䒑 {尹三} {变字头无亠}
𰾯	钅 广 肀 口
𰾰	钅 山 隹
𰾱	钅 丿 囗 夂 心
𰾲	钅 鹿
𰾳	钅 ヿ 耳 攵
𰾴	钅 {其字头} {其字底} 斤
𰾵	钅 古 辛
𰾶	钅 一 日 {虫无口} 心
𰾷	钅 旡 旡 曰
𰾸	钅 目 {⿍左角} {⿍右角}
𰾹	钅 隹 {凹无一}
𰾺	钅 丿 囗 米 一 ㄅ
𰾻	钅 丷 酉 大
𰾼	钅 巳 巳 龷 八
𰾽	钅 尸 丿 口 ⽱
𰾾	钅 十 冂 {南心} 犬
𰾿	钅 艹 曰 勹 亾
𰿀	钅 〢 {临右上} 金
𰿁	钅 鹿 匕
𰿂	钅 ⻗ 而
𰿃	钅 艹 罒 戊 丶
𰿄	钅 田 田 田
𰿅	钅 山 隹 {凹无一}
𰿆	钅 𠂒 儿 𠂒 儿 贝
𰿇	钅 ⺮ 目 廾 刂
𰿈	钅 人 人 戈 非 一
𰿉	钅 田 田 田 土
𰿊	钅 {赢框} 羊
𰿋	丿 厶 長
𰿌	镸 八 刀
𰿍	冖 𧘇 長
𰿎	镸 大 日
𰿏	長 里
𰿐	镸 {弃字头} {荒字底}
𰿑	镸 ⺈ 士 口
𰿒	镸 夂 缶
𰿓	镸 一 止 丶 王
𰿔	長 广 {尹三} 氺
𰿕	镸 厶 厶 厶 人 彡
𰿖	不 长
𰿗	門 卜
𰿘	門 一 {別字旁底}
𰿙	門 ⺈ ㇏
𰿚	門 夕
𰿛	門 丷 丨
𰿜	門 勹 𰀪
𰿝	門 六
𰿞	門 夕 刂
𰿟	門 𠂇 丨 土
𰿠	門 一 廾 一 大
𰿡	門 侖
𰿢	門 穴 工
𰿣	門 土 土 寸
𰿤	門 氵 廿 冂 丨 入 入
𰿥	门 丨
𰿦	二 门
𰿧	门 女
𰿨	门 二 儿
𰿩	门 牙
𰿪	门 八 刀
𰿫	门 丶 力 丶
𰿬	门 干 丷
𰿭	门 田
𰿮	门 自
𰿯	门 豆
𰿰	门 身
𰿱	门 月 月
𰿲	门 日 {比左} 匕
𰿳	㐅 木 门 人
𰿴	门 曰 勹 亾
𰿵	门 亼 ⺝ 刂
𰿶	门 穴 牙
𰿷	门 示 示
𰿸	门 自 犬
𰿹	门 黄
𰿺	门 {党无儿} 土
𰿻	门 亼 口 羽
𰿼	门 丷 囗 ⺌ 曰
𰿽	门 木 {亮头} 几
𰿾	门 辟
𰿿	门 一 廾 宀 丰 口
𱀀	门 酉 厶 八 夂
𱀁	丿 㠯 十 千
𱀂	丿 㠯 十 子
𱀃	阝 一 巾
𱀄	阝 八 厶
𱀅	丿 㠯 十 {候右角} 人
𱀆	阝 古
𱀇	阝 禾
𱀈	丿 㠯 十 乍
𱀉	丿 㠯 句
𱀊	阝 宀 九
𱀋	阝 土 土
𱀌	阝 二 止
𱀍	阝 大 干
𱀎	阝 厂 文
𱀏	阝 人 止
𱀐	阝 夕 巳
𱀑	阝 小 丿 马
𱀒	阝 山 小 丿
𱀓	丿 㠯 ⺌ ⺝
𱀔	阝 宀 之
𱀕	阝 厶 小 又
𱀖	丿 㠯 十 厶 八 夂
𱀗	阝 龷 日
𱀘	丿 㠯 土 八 夂
𱀙	阝 山 用
𱀚	阝 禾 女
𱀛	阝 人 {舍下}
𱀜	丿 㠯 十 隹
𱀝	丿 㠯 十 丿 㠯 十
𱀞	阝 穴 工
𱀟	丿 㠯 十 {高头} 子
𱀠	丿 㠯 彐 冖 巾
𱀡	阝 十 艹 贝
𱀢	阝 𠂇 ⺝ 阝
𱀣	阝 日 一 止
𱀤	阝 日 八 女
𱀥	阝 臼 丨 又
𱀦	阝 白 止
𱀧	阝 夕 㐄 土
𱀨	阝 米 廾
𱀩	阝 了 口 又 凵
𱀪	阝 井 王 冂
𱀫	阝 厶 小 又 山
𱀬	阝 木 人 人 土
𱀭	阝 虍 {丘无横} 一
𱀮	丿 㠯 十 {祭字头} 示
𱀯	阝 宀 一 由 八
𱀰	阝 亠 田 一 {畏下无横}
𱀱	阝 夫 夫 曰
𱀲	阝 旡 旡 旡
𱀳	丿 㠯 十 艹 貝
𱀴	阝 冂 大 貝
𱀵	阝 丷 酉 寸
𱀶	阝 䒑 {尹三} 〢 灬
𱀷	阝 土 羊 辶
𱀸	阝 ⻗ 丿 丷 𬺰
𱀹	阝 耳 耳 ㄑ
𱀺	阝 ⻊ 各
𱀻	阝 艹 隹 又
𱀼	阝 虍 业 戈
𱀽	阝 虍 {丘无横} 一 戈
𱀾	阝 人 {䕥下}
𱀿	阝 {立无横} 冂 古 辶
𱁀	阝 𠂇 ⺝ 辶 人 ⺗
𱁁	阝 耳 又 耳 又
𱁂	阝 丷 豕 人 氺
𱁃	丿 㠯 {益字头} 皿 丿 㠯 十
𱁄	丿 {𨸥左无撇} 丿 {𨸥左无撇} {益字头} 皿
𱁅	八 隹
𱁆	隹 {云变}
𱁇	月 隹
𱁈	乡 隹
𱁉	斗 隹
𱁊	{立无横} 可 隹
𱁋	隹 彳 丷 疋
𱁌	羽 人 小 隹
𱁍	厂 亻 隹 十 目 一
𱁎	亽 ヿ 口 酉 隹
𱁏	宀 {眉框} 貝 隹
𱁐	屮 凵 隹 羽 隹
𱁑	雨 匕
𱁒	雨 又 寸
𱁓	雨 幺 刀
𱁔	雨 土 方
𱁕	雨 乚 土 土
𱁖	雨 〢 又 土
𱁗	⻗ 田 八
𱁘	雨 田 力
𱁙	雨 氵 丿 大
𱁚	雨 阝 方
𱁛	雨 木 日
𱁜	雨 耳 几
𱁝	雨 耳 又
𱁞	雨 丷 田 十
𱁟	雨 {弃字头} ⺝
𱁠	⻗ 日 乚 巴
𱁡	雨 彳 夂 㐄
𱁢	雨 氵 亻 丿 士
𱁣	⻗ 彐 宀 且
𱁤	⻗ 田 {眉框} 目
𱁥	⻗ 云 艹 冖 巾
𱁦	雨 貝 日 勹 𰀪
𱁧	雨 金 𠂉 母
𱁨	雨 宀 丿 米 田
𱁩	雨 氵 曲 豆
𱁪	雨 田 田 田 田 土
𱁫	雨 隹 隹 隹
𱁬	⻗ 云 ⻗ 云 立 ⺝ {龍右} ⻗ 云 立 ⺝ {龍右} 立 ⺝ {龍右}
𱁭	龶 ⺝ 宀 之
𱁮	龶 ⺝ {尹三} 冖 又
𱁯	毛 毛 毛 非
𱁰	面 亼 口 手
𱁱	革 ㄋ 𰀪
𱁲	革 冖 几
𱁳	革 又 {举字底}
𱁴	革 {比左} 匕 十
𱁵	革 力 辶
𱁶	革 千 辶
𱁷	革 十 乛 丶 丶 大
𱁸	革 艹 句
𱁹	革 虫 贝
𱁺	革 米 女
𱁻	革 ⺿ 戊 一
𱁼	革 宀 丰 口
𱁽	革 门 木 囗 丷
𱁾	革 艹 门 木 囗 丷
𱁿	韋 又 丶
𱂀	韋 水
𱂁	韋 皮
𱂂	韋 禾 刂
𱂃	韦 及
𱂄	韦 未
𱂅	韦 心 丿
𱂆	韦 亼 口
𱂇	丷 夫 韦
𱂈	韦 冖 车
𱂉	韦 ⺌ ⺝
𱂊	韦 廿 ㇗ 木
𱂋	韦 罒 勹 虫
𱂌	韦 艹 隹 又
𱂍	阝 人 非 一
𱂎	歹 贝 又 非 一
𱂏	也 音
𱂐	音 口 贝
𱂑	音 爫 工
𱂒	音 田 ⽱
𱂓	音 亼 ツ 口
𱂔	戶 頁
𱂕	九 十 頁
𱂖	火 丁 頁
𱂗	羊 頁
𱂘	大 木 頁
𱂙	日 女 頁
𱂚	鬲 頁
𱂛	舟 止 頁
𱂜	{立无横} 冖 方 頁
𱂝	隹 火 頁
𱂞	自 穴 口 頁
𱂟	⺮ 亼 口 册 頁
𱂠	丿 七 页
𱂡	气 页
𱂢	屮 凵 页
𱂣	{晓右上} 一 儿 页
𱂤	山 夕 页
𱂥	各 页
𱂦	䒑 廾 页
𱂧	米 页
𱂨	宀 女 页
𱂩	甫 页
𱂪	十 冂 大 页
𱂫	亼 ⺍ 一 页
𱂬	{然左角} 廾 页
𱂭	隹 页
𱂮	白 丿 十 页
𱂯	亠 人 人 十 页
𱂰	乛 氺 凵 页
𱂱	戊 一 口 页
𱂲	田 心 页
𱂳	白 王 页
𱂴	井 王 冂 页
𱂵	骨 页
𱂶	丿 龱 心 页
𱂷	方 𠂉 ⺆ 亠 页
𱂸	宀 {丘无横} {其字底} 页
𱂹	户 米 页
𱂺	覀 示 页
𱂻	隹 灬 页
𱂼	{比左} 匕 風
𱂽	⺊ 口 風
𱂾	風 夕 卩
𱂿	勹 巳 風
𱃀	風 犭 火
𱃁	風 身
𱃂	風 阝 方
𱃃	土 八 夂 風
𱃄	風 虎
𱃅	風 月 月
𱃆	立 口 風
𱃇	廿 ㇗ 木 風
𱃈	風 穴 又 又
𱃉	宀 火 又 風
𱃊	風 夕 ⺋ 田
𱃋	風 敖
𱃌	⺈ 囗 口 夕 風
𱃍	風 羽 人 小
𱃎	風 人 亠 㐅 凵 禸
𱃏	⺈ 厂 八 言 風
𱃐	風 鹿 灬
𱃑	風 言 火 火 又
𱃒	風 耳 耳 耳
𱃓	風 虫 虫 虫
𱃔	几 乂 彡
𱃕	几 乂 牙
𱃖	几 乂 幺 力
𱃗	几 乂 厶 口
𱃘	几 乂 歹 刂
𱃙	几 乂 文 刂
𱃚	几 乂 力 力 力
𱃛	几 乂 豕
𱃜	几 乂 禾 女
𱃝	几 乂 几 乂 几 乂
𱃞	几 乂 亼 ⺝ 刂
𱃟	羽 白 几 乂
𱃠	几 乂 犬 犬 犬
𱃡	飠 一 𬺰
𱃢	飠 二 ㄅ
𱃣	飠 一 卜
𱃤	食 心
𱃥	飠 一 廾 刂
𱃦	飠 而
𱃧	飠 光
𱃨	飠 足
𱃩	飠 门 日
𱃪	飠 {其字头} {其字底}
𱃫	飠 月 月
𱃬	飠 可 可
𱃭	飠 木 六 乂
𱃮	⺶ ㇏ 丶 艮 一 {丈无一} 丶
𱃯	飠 舟 皿
𱃰	飠 矢 豆
𱃱	饣 𠂉 乙
𱃲	饣 匚 㐅
𱃳	饣 不
𱃴	饣 亠 卜
𱃵	饣 冂 大
𱃶	饣 囗 人
𱃷	饣 丷 {举字底}
𱃸	饣 至
𱃹	饣 山 己
𱃺	饣 舌
𱃻	饣 纟 勹 丶
𱃼	饣 大 十 廾
𱃽	饣 人 亥
𱃾	饣 立 口
𱃿	饣 火 火
𱄀	饣 十 艹 贝
𱄁	饣 亼 ⺝ 刂
𱄂	饣 宀 火 又
𱄃	饣 聿 廴
𱄄	饣 彑 {豕无横}
𱄅	饣 亻 丨 夂 彡
𱄆	饣 壴 口
𱄇	饣 象
𱄈	饣 艹 冖 一 豕
𱄉	饣 爫 工 彐 心
𱄊	饣 𠂒 儿 𠂒 儿 贝
𱄋	䒑 自 斗
𱄌	一 戈 䒑 自
𱄍	巛 一 自 戈 口 一
𱄎	禾 日 云
𱄏	禾 日 丶 艮
𱄐	禾 日 夂 丰 辶
𱄑	厶 馬
𱄒	馬 手
𱄓	馬 艹 乙
𱄔	馬 囗 コ
𱄕	馬 亻 也
𱄖	馬 夕 卩
𱄗	馬 宀 几
𱄘	馬 口 土
𱄙	馬 {北左} 匕 一
𱄚	馬 ⺊ 日
𱄛	馬 耒
𱄜	馬 又 ヿ 土
𱄝	馬 古 儿
𱄞	馬 乚 土 土
𱄟	馬 ⺿ 巳
𱄠	馬 丿 糸
𱄡	馬 亻 亻 寸
𱄢	馬 厶 小 又
𱄣	馬 勹 二 止
𱄤	馬 臼 人
𱄥	馬 禾 龷
𱄦	馬 㐅 凵 小 又
𱄧	馬 音
𱄨	馬 宀 一 日 一
𱄩	馬 龶 糸
𱄪	馬 覀 心
𱄫	馬 𠂇 口 冂 口
𱄬	馬 戶 一 𠃌 殳
𱄭	馬 夕 ⺋ 田
𱄮	馬 止 豆
𱄯	馬 山 日 曰
𱄰	馬 彡 八 厶 心
𱄱	馬 ⺈ 田 日
𱄲	馬 一 {亞无横} 心
𱄳	馬 一 人 人 人 人 大
𱄴	月 丷 夫 ゛ 馬
𱄵	馬 镸 聿
𱄶	馬 ⺈ 冂 人 見
𱄷	馬 日 龷 八 ⺗
